,Specie,Date,Location
0,Larus philadelphia,27/03/2020,Málaga (Málaga)
1,Anser brachyrhynchus,26/03/2020,Llanes (Asturies)
2,Branta bernicla,25/03/2020,Parque Natural del Estrecho (Tarifa) (Cádiz)
3,Larus canus,25/03/2020,Rota (Cádiz)
4,Larus glaucoides,24/03/2020,Lekeitio (Vizcaya)
5,Larus glaucoides,24/03/2020,Lekeitio (Vizcaya)
6,Larus philadelphia,19/03/2020,Málaga (Málaga)
7,Motacilla tschutschensis,15/03/2020,"Morro Jable, Pájara, Fuerteventura (Las Palmas)"
8,Oenanthe isabellina,15/03/2020,"Pájara, Fuerteventura (Las Palmas)"
9,Oenanthe isabellina,15/03/2020,"Pájara, Fuerteventura (Las Palmas)"
10,Larus dominicanus,15/03/2020,"Pájara, Fuerteventura (Las Palmas)"
11,Oenanthe isabellina,14/03/2020,"La Oliva, Fuerteventura (Las Palmas)"
12,Bucephala clangula,14/03/2020,Cospeito (Lugo)
13,Spilopelia senegalensis,14/03/2020,Los Palacios(Sevilla)
14,Anthus cervinus,14/03/2020,Puebla del Río (Sevilla)
15,Ardea alba,14/03/2020,Cospeito (Lugo)
16,Ardea alba,14/03/2020,Cospeito (Lugo)
17,Anser brachyrhynchus,14/03/2020,Llanes (Asturies)
18,Phylloscopus inornatus,14/03/2020,"Pájara, Fuerteventura (Las Palmas)"
19,Larus marinus,14/03/2020,Barbate (Cádiz)
20,Elanus caeruleus,14/03/2020,Gozón (Asturies)
21,Acrocephalus paludicola,14/03/2020,Sagunto (Valencia/València)
22,Anthus hodgsoni,13/03/2020,"Pájara, Fuerteventura (Las Palmas)"
23,Ardea alba,13/03/2020,Cospeito (Lugo)
24,Botaurus stellaris,13/03/2020,Villaviciosa (Asturies)
25,Elanus caeruleus,13/03/2020,Gozón (Asturies)
26,Oenanthe isabellina,12/03/2020,"La Oliva, Fuerteventura (Las Palmas)"
27,Larus smithsonianus,12/03/2020,Muxía / Cée (A Coruña)
28,Zapornia parva,12/03/2020,Mocejon (Toledo)
29,Elanus caeruleus,12/03/2020,Ibarrangelu (Vizcaya)
30,Tichodroma muraria,12/03/2020,Ardales (Málaga)
31,Sylvia curruca blythi/halimodendri,11/03/2020,Cádiz (Cádiz)
32,Cygnus atratus,11/03/2020,Reserva de la Biosfera (Vizcaya)
33,Pycnonotus barbatus,11/03/2020,Torremolinos (Málaga)
34,Porzana porzana,11/03/2020,Fuente de Piedra (Málaga)
35,Tichodroma muraria,11/03/2020,Ardales (Málaga)
36,Oenanthe isabellina,10/03/2020,"Gáldar, Gran Canaria (Las Palmas)"
37,Ammomanes cinctura,10/03/2020,"Arona, Tenerife (Santa Cruz de Tenerife)"
38,Anthus hodgsoni,10/03/2020,"Pájara, Fuerteventura (Las Palmas)"
39,Lanius isabellinus,10/03/2020,El Rocío (Huelva)
40,Oenanthe isabellina,10/03/2020,"Pájara, Fuerteventura (Las Palmas)"
41,Larus glaucoides thayeri,10/03/2020,Cervo (Lugo)
42,Larus glaucoides thayeri,10/03/2020,Xove (Lugo)
43,Anthus hodgsoni,10/03/2020,"Pájara, Fuerteventura (Las Palmas)"
44,Sylvia curruca,10/03/2020,Zarautz (Guipúzcoa)
45,Spilopelia senegalensis,10/03/2020,Los Palacios(Sevilla)
46,Oenanthe deserti,10/03/2020,(No especificada)(Las Palmas)(Canarias)
47,Sylvia curruca,10/03/2020,"Santa Cruz de Tenerife, Tenerife (Santa Cruz de Tenerife)"
